STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
SUPER MERCADO EL GUERRO,7546,3857,9375,B,1701 W 47TH ST,60609,NEW CITY,61,20,17031611300,170316113003000,1165786.5456605123,1873500.5832346492,41.8084712383,-87.6674545133,"(41.8084712383, -87.6674545133)"
SUPER MERCADO LA CHIQUITA,6054,3546,9500,B,3555 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301600,170313016001005,1152851.9808610491,1886452.834176341,41.8442791237,-87.7145537663,"(41.8442791237, -87.7145537663)"
SUPERIOR NUT & CANDY  CO.I INC.,1122087,26728,10005,A,1111 W 40TH ST,60609,NEW CITY,61,11,17031842600,170318426002016,1169479.083339986,1878079.6963200863,41.820957494,-87.6537783218,"(41.8209574940, -87.6537783218)"
SUPERMARKET & TAQUERIA CARO,2014104,310507,4524,B,4937 W 47TH ST,60638,GARFIELD RIDGE,56,23,17031560300,170315603001003,1144086.2047966304,1872974.3142610758,41.8074608778,-87.747060571,"(41.8074608778, -87.7470605710)"
SUPERMERCADO ALEX,1772307,4076,9375,B,4134 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031301803,170313018032019,1149168.2371555963,1883754.7411098608,41.8369472381,-87.7281423632,"(41.8369472381, -87.7281423632)"
SUPERMERCADO EL CUBANO INC,57265,6678,2750,B,4939 S ASHLAND AVE,60609,NEW CITY,61,20,17031611200,170316112002009,1166552.0704259109,1871797.809610817,41.803782323,-87.6646953279,"(41.8037823230, -87.6646953279)"
SUPERMERCADO EL GUERO #10 INC,39978,10046,10001,A,4023 S ARCHER AVE,60632,BRIGHTON PARK,58,12,17031580600,170315806002005,1158673.0725754036,1877860.2682912191,41.8205830407,-87.693426166,"(41.8205830407, -87.6934261660)"
SUPERMERCADO EL GUERO NO. 8,20973,8662,14000,A,2101 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031841300,170318413001000,1162678.1623507629,1889348.6826840139,41.8520256918,-87.6784122433,"(41.8520256918, -87.6784122433)"
SUPERMERCADO GELA'S,67273,20695,3125,B,2701 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301701,170313017012003,1152182.029659277,1885772.1749317604,41.8424245295,-87.7170303155,"(41.8424245295, -87.7170303155)"
SUPERMERCADO GUADALAJARA #2,3991,23651,6000,B,2300 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,24,17031300800,170313008001012,1155346.7012859406,1888503.8028630181,41.8498575327,-87.7053434771,"(41.8498575327, -87.7053434771)"
SUPERMERCADO GUERRERO,2042000,354339,3800,B,3100 W CERMAK RD,60623,SOUTH LAWNDALE,30,24,17031841700,170318417001009,1156013.4881838674,1889256.0464354453,41.8519083675,-87.702875989,"(41.8519083675, -87.7028759890)"
SUPERMERCADO LA CHIQUTIA # 4,49303,89325,10001,A,2623 S PULASKI RD,60623,SOUTH LAWNDALE,30,22,17031301701,170313017013005,1150175.895202942,1886162.497239797,41.8435348913,-87.7243821794,"(41.8435348913, -87.7243821794)"
Supermercado Santos,1091886,206261,4000,B,4045 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031830500,170318305001001,1149716.404899851,1883686.719119906,41.8367499608,-87.7261326568,"(41.8367499608, -87.7261326568)"
TAI WAH GROCERY,28038,63654,3200,B,2226 S WENTWORTH AVE,60616,ARMOUR SQUARE,34,25,17031841100,170318411004018,1175283.3528655847,1889485.208198296,41.8521271977,-87.6321439957,"(41.8521271977, -87.6321439957)"
Three Stars Liquors,1488855,274865,4600,B,310 N KOSTNER AVE,60624,WEST GARFIELD PARK,26,28,17031260400,170312604001012,1146960.8395020878,1901550.341997033,41.8858229904,-87.7357878114,"(41.8858229904, -87.7357878114)"
TRADER JOE'S EAST,1592120,211718,10615,A,44 E ONTARIO ST,60611,NEAR NORTH SIDE,8,42,17031081500,170310815002008,1176714.0993905573,1904540.636681799,41.8934080204,-87.6264377426,"(41.8934080204, -87.6264377426)"
TRATTORIA ISABELLA,1842843,320408,3365,B,217 N JEFFERSON ST,60661,NEAR WEST SIDE,28,42,17031280100,170312801001026,1172322.5414348007,1901912.2319896733,41.8862936679,-87.6426439206,"(41.8862936679, -87.6426439206)"
TREASURE ISLAND FOODS,1319,85291,10001,A,680 N LAKE SHORE DR,60611,NEAR NORTH SIDE,8,42,17031081401,170310814012011,1179588.0364358306,1905071.1706646793,41.8947983703,-87.6158666457,"(41.8947983703, -87.6158666457)"
WASHINGTON GROCERY,6249,23967,4200,B,4139 W FIFTH AVE,60624,WEST GARFIELD PARK,26,24,17031261000,170312610002013,1148829.3509590852,1896476.4008109143,41.8718636117,-87.7290573726,"(41.8718636117, -87.7290573726)"
"WAY LOW DISCOUNT FOOD, INC.",41036,16053,2500,B,1551 S KEDZIE AVE,60623,NORTH LAWNDALE,29,24,17031843100,170318431001029,1155321.4225621962,1892143.5663288,41.8598459614,-87.705338554,"(41.8598459614, -87.7053385540)"
WEST HAVEN MARKET & GRILL,17558,7111,3200,B,2132 W WASHINGTON BLVD,60612,NEAR WEST SIDE,28,2,17031837800,170318378002019,1162032.1165760455,1900702.2627747909,41.8831944724,-87.6804664902,"(41.8831944724, -87.6804664902)"
WHOLE FOODS MARKET,1678043,86298,11310,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002074,1173339.1358198426,1895578.0371911677,41.8688897111,-87.6390989281,"(41.8688897111, -87.6390989281)"
WHOLE FOODS MARKET,76395,86298,30591,A,30 W HURON ST,60610,NEAR NORTH SIDE,8,42,17031081600,170310816002002,1175903.1287106676,1905102.7096487125,41.8949686732,-87.6293991787,"(41.8949686732, -87.6293991787)"
WINDY CITY INC,24289,9833,4225,B,324 S CICERO AVE,60644,AUSTIN,25,24,17031252202,170312522025003,1144408.8929469842,1897932.7840747123,41.8759443554,-87.7452502275,"(41.8759443554, -87.7452502275)"
ZIAD CERTIFIED FOODS,9046,4213,2500,B,513 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381200,170313812002015,1180538.3289075927,1873929.875312412,41.8093228701,-87.6133355212,"(41.8093228701, -87.6133355212)"
WALGREENS #232,18449,147,,A,3405 S DR MARTIN LUTHER KING JR DR,60616,DOUGLAS,35,4,17031351000,170314000000000,1179511.815,1882412.902,41.8326245,-87.6168411,"(41.8326245, -87.6168411)"
WALGREENS #162,18419,147,,A,1554 E 55TH ST,60615,HYDE PARK,41,4,17031410800,170314000000000,1187538.136,1868878.342,41.79529732,-87.58782256,"(41.79529732, -87.58782256)"
WALGREENS #2073,18619,7551,,A,5401 S WENTWORTH AVE,60609,FULLER PARK,37,3,17031835600,170318000000000,1175923.785,1869122.159,41.79623488,-87.63040492,"(41.79623488, -87.63040492)"
WALGREENS #226,18468,147,,A,4005 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301802,170313000000000,1150066.399,1886383.94,41.84414469,-87.72477825,"(41.84414469, -87.72477825)"
WALMART,2164075,303471,,A,1424 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318000000000,1167548.598,1167550.933,41.80876829,-87.66098821,"(41.80876829, -87.66098821)"
PETE'S FRESH SUPERMARKET,1771242,312119,,A,2526 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318000000000,1159779.467,1889354.072,41.85210065,-87.68905111,"(41.85210065, -87.68905111)"
SAVE-A-LOT # 866,1299911,216203,,A,3939 W OGDEN AVE,60623,NORTH LAWNDALE,29,22,17031843400,170318000000000,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.72385084)"
